  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -90.000  -9.8700   0.00541   0.00115  -0.0000   0.6880   0.6880
   0.000   0.0000   0.00541   0.00115  -0.0000   0.6880   0.6880
   0.500   0.0538   0.00543   0.00117   0.0007   0.6363   0.7380
   1.000   0.1075   0.00551   0.00122   0.0014   0.5833   0.7855
   1.500   0.1610   0.00563   0.00131   0.0022   0.5297   0.8291
   2.000   0.2144   0.00582   0.00144   0.0030   0.4754   0.8681
   2.500   0.2674   0.00608   0.00160   0.0039   0.4203   0.9015
   3.000   0.3198   0.00641   0.00180   0.0049   0.3652   0.9294
   3.500   0.3723   0.00682   0.00204   0.0058   0.3103   0.9520
   4.000   0.4275   0.00730   0.00232   0.0061   0.2543   0.9687
   4.500   0.4885   0.00787   0.00266   0.0049   0.1998   0.9798
   5.000   0.5559   0.00850   0.00306   0.0022   0.1497   0.9859
   5.500   0.6251   0.00914   0.00350  -0.0010   0.1101   0.9903
   6.000   0.6940   0.00977   0.00397  -0.0041   0.0820   0.9942
   6.500   0.7628   0.01039   0.00449  -0.0072   0.0632   0.9977
   7.000   0.8265   0.01100   0.00503  -0.0093   0.0512   1.0000
   7.500   0.8683   0.01155   0.00555  -0.0067   0.0441   1.0000
   8.000   0.9099   0.01215   0.00614  -0.0040   0.0388   1.0000
   8.500   0.9515   0.01280   0.00679  -0.0014   0.0347   1.0000
   9.000   0.9940   0.01349   0.00750   0.0010   0.0313   1.0000
   9.500   1.0366   0.01423   0.00827   0.0034   0.0285   1.0000
  10.000   1.0798   0.01506   0.00913   0.0054   0.0262   1.0000
  10.500   1.1230   0.01596   0.01009   0.0073   0.0243   1.0000
  11.000   1.1656   0.01696   0.01115   0.0092   0.0226   1.0000
  11.500   1.2066   0.01806   0.01232   0.0112   0.0212   1.0000
  12.000   1.2447   0.01931   0.01363   0.0134   0.0200   1.0000
  12.500   1.2825   0.02050   0.01493   0.0156   0.0189   1.0000
  13.000   1.3138   0.02199   0.01653   0.0185   0.0180   1.0000
  13.500   1.3373   0.02356   0.01819   0.0225   0.0173   1.0000
  14.000   1.3555   0.02563   0.02041   0.0262   0.0167   1.0000
  14.500   1.3730   0.02800   0.02294   0.0290   0.0160   1.0000
  15.500   1.3888   0.03574   0.03103   0.0314   0.0152   1.0000
  16.000   1.3904   0.04129   0.03677   0.0303   0.0148   1.0000
  16.500   1.3837   0.04858   0.04425   0.0274   0.0145   1.0000
  17.000   1.3636   0.05825   0.05411   0.0229   0.0143   1.0000
  17.500   1.3371   0.06939   0.06552   0.0175   0.0141   1.0000
  18.000   1.3037   0.08208   0.07848   0.0111   0.0140   1.0000
  18.500   1.2671   0.09572   0.09236   0.0041   0.0139   1.0000
  19.000   1.2323   0.10951   0.10636  -0.0031   0.0138   1.0000
  19.500   1.2029   0.12277   0.11981  -0.0103   0.0136   1.0000
  20.000   1.1804   0.13513   0.13232  -0.0175   0.0134   1.0000
  20.500   1.1666   0.14597   0.14327  -0.0242   0.0132   1.0000
  21.000   1.1643   0.15433   0.15166  -0.0295   0.0130   1.0000
  21.500   1.1341   0.16987   0.16747  -0.0402   0.0128   1.0000
  22.000   1.0853   0.19127   0.18920  -0.0554   0.0126   1.0000
