  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.464   0.2432   0.00541   0.00115  -0.0000   0.6880   0.6880
   1.141   0.3330   0.00543   0.00117   0.0007   0.6363   0.7380
   2.049   0.3996   0.00551   0.00122   0.0014   0.5833   0.7855
   2.740   0.4680   0.00563   0.00131   0.0022   0.5297   0.8291
   3.419   0.5363   0.00582   0.00144   0.0030   0.4754   0.8681
   4.104   0.6048   0.00608   0.00160   0.0039   0.4203   0.9015
   4.788   0.6720   0.00641   0.00180   0.0049   0.3652   0.9294
   5.523   0.7361   0.00682   0.00204   0.0058   0.3103   0.9520
   6.305   0.8012   0.00730   0.00232   0.0061   0.2543   0.9687
   7.088   0.8661   0.00787   0.00266   0.0049   0.1998   0.9798
   7.919   0.9305   0.00850   0.00306   0.0022   0.1497   0.9859
   8.799   0.9960   0.00914   0.00350  -0.0010   0.1101   0.9903
   9.729   1.0630   0.00977   0.00397  -0.0041   0.0820   0.9942
  10.707   1.1264   0.01039   0.00449  -0.0072   0.0632   0.9977
  11.734   1.1918   0.01100   0.00503  -0.0093   0.0512   1.0000
  12.810   1.2550   0.01155   0.00555  -0.0067   0.0441   1.0000
  14.278   1.3240   0.01215   0.00614  -0.0040   0.0388   1.0000
  16.234   1.3718   0.01280   0.00679  -0.0014   0.0347   1.0000
  18.290   1.3838   0.01349   0.00750   0.0010   0.0313   1.0000
  20.340   1.3616   0.01423   0.00827   0.0034   0.0285   1.0000
  22.390   1.3054   0.01506   0.00913   0.0054   0.0262   1.0000
